"","Species","Functional_group","ProjectID","PlotNumber","SiteSurveyor","Year","YearsSinceStart","RelocationConfidence","Latitude","Longitude","Elevation","present","Cover","Time"
"75","PINUCON","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"76","PSEUMEN","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"77","PYROASA","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"78","RHODALB","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,18,"historical"
"79","RIBEACE","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,0.100000001,"historical"
"80","RIBELAC","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"81","RUBUPAR","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"82","RUBUPED","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,3,"historical"
"83","SORBSCO","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"84","SORBSIT","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,0.100000001,"historical"
"85","SPIRLUC","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"86","TIARTRI","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"87","TSUGHET","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"88","VACCMEM","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,12,"historical"
"89","VACCSCO","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,12,"historical"
"90","VALESIT","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,6,"historical"
"91","ABIEAMA","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,"historical"
"92","ABIELAS","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,19,"historical"
"93","AMELALN","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,15,"historical"
"94","ARNILAT","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,"historical"
"95","CHAMANG","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,"historical"
"96","CHIMUMB","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,2,"historical"
"97","CLINUNI","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,4,"historical"
"98","CORNCAN","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,"historical"
"99","GOODOBL","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,0.100000001,"historical"
"100","LONIUTA","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,"historical"
"101","LUPIARC","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,20,"historical"
"102","ORTHSEC","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,0.100000001,"historical"
"103","PAXIMYR","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,35,"historical"
"104","PICEENG","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,3.099999905,"historical"
"105","PINUCON","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,21,"historical"
"106","PSEUMEN","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,5.100000001,"historical"
