BC_species_code,Latin_name,Functional_group
PYROMIN,Pyrola minor,herb
RACOMITRIUM SP.,Racomitrium spp.,moss
RANUESC,Ranunculus eschscholtzii,herb
RHIZMAG,Rhizomnium magnifolium,moss
RHIZNUD,Rhizomnium nudum,moss
RHIZPUN,Rhizomnium punctatum,moss
RHODALB,Rhododendron albiflorum,shrub
RHODINT,Rhodiola integrifolia,herb
RHODMAC,Rhododendron macrophyllum,shrub
RHYTIDIOPSIS SP.,Rhytidiopsis spp.,moss
RHYTLOR,Rhytidiadelphus loreus,moss
RHYTROB,Rhytidiopsis robusta,moss
RHYTSQU,Rhytidiadelphus squarrosus,moss
RIBEACE,Ribes acerifolium,shrub
RIBELAC,Ribes lacustre,shrub
RIBEVIS,Ribes viscosissimum,shrub
ROELROE,Roellia roellii,moss
ROSA SP.,Rosa spp.,shrub
ROSAACI,Rosa acicularis,shrub
ROSAGYM,Rosa gymnocarpa,shrub
RUBUPAR,Rubus parviflorus,shrub
RUBUPED,Rubus pedatus,herb
RUBUSPE,Rubus spectabilis,shrub
RUBUURS,Rubus ursinus,shrub
SALICAS,Salix cascadensis,shrub
SALIDIS,Salix discolor,tree
SALINIV,Salix nivalis,shrub
SALISCO,Salix scouleriana,tree
SALIX SP.,Salix spp.,shrub
SAMBRAC,Sambucus racemosa,shrub
SANIUNC,Sanionia uncinata,moss
SAXIAUS,Saxifraga austromontana,herb
SCIUHYL,Sciuro-hypnum hylotapetum,moss
SCIUOED,Sciuro-hypnum oedipodium,moss
SEDUDIV,Sedum divergens,herb
SEDULAN,Sedum lanceolatum,herb
SELADEN,Selaginella densa,herb
SELASCO,Selaginella scopulorum,herb
SENECIO SP.,Senecio spp.,herb
SENEINT,Senecio integerrimus,herb
SENETRI,Senecio triangularis,herb
SHEPCAN,Shepherdia canadensis,shrub
SIBBPRO,Sibbaldia procumbens,shrub
SILEACA,Silene acaulis,herb
SILEINV,Silene involucrata,herb
SILEMEN,Silene menziesii,herb
SILEPAR,Silene parryi,herb
SOLIMUL,Solidago multiradiata,herb
SORBSCO,Sorbus scopulina,shrub
SORBSIT,Sorbus sitchensis,shrub
SPIRLUC,Spiraea lucida,shrub
STELCRI,Stellaria crispa,herb
STELLON,Stellaria longifolia,herb
STREAMP,Streptopus amplexifolius,herb
STRELAN,Streptopus lanceolatus,herb
SYMPALB,Symphoricarpos albus,shrub
SYMPFOL,Symphyotrichum foliaceum,herb
SYNTNOR,Syntrichia norvegica,moss
TAXUBRE,Taxus brevifolia,tree
THALOCC,Thalictrum occidentale,herb
THAMVER,Thamnolia vermicularis,lichen
THUJPLI,Thuja plicata,tree
TIARTRI,Tiarella trifoliata,herb
TIMMAUS,Timmia austriaca,moss
TONELYA,Tonestus lyallii,herb
TRISCAN,Trisetum canescens,grass
TRISSPI,Trisetum spicatum,grass
TROLALB,Trollius albiflorus,herb
TSUGHET,Tsuga heterophylla,tree
TSUGMER,Tsuga mertensiana,tree
VACCCAE,Vaccinium caespitosum,shrub
VACCDEL,Vaccinium deliciosum,shrub
VACCMEM,Vaccinium membranaceum,shrub
VACCOVL,Vaccinium ovalifolium,shrub
VACCPAR,Vaccinium parvifolium,shrub
VACCSCO,Vaccinium scoparium,shrub
VAHLATR,Vahlodea atropurpurea,grass
VALESIT,Valeriana sitchensis,herb
VERAVIR,Veratrum viride,herb
VEROCUS,Veronica cusickii,herb
VIBUEDU,Viburnum edule,shrub
VIOLA SP.,Viola spp.,herb
VIOLGLA,Viola glabella,herb
VIOLORB,Viola orbiculata,herb
VIOLSEM,Viola sempervirens,herb
