"","PlotNumber","Site","ProjectID","Year","SiteSurveyor","Latitude","Longitude","Elevation","RelocationConfidence","Species","Functional_group","Cover"
"78","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","PICEENG","tree",10.5
"79","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","VACCSCO","shrub",0.35
"80","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","VACCDEL","shrub",3.5
"81","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","PHYLEMP","shrub",0.5
"82","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","VERAVIR","herb",13
"83","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","VALESIT","herb",26
"84","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","ARNILAT","herb",5
"85","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","PULSOCC","herb",4.5
"86","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","ERIGGLA","herb",12.5
"87","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","LUPIARC","herb",3
"88","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","TROLALB","herb",4.5
"89","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","ORTHSEC","herb",0
"90","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","GOODOBL","herb",0
